OFFICIAL_NAME,COUNTY_NAME,OFFICIAL_SIZE_VALUE,OFFICIAL_MAX_DEPTH_VALUE,PLSS,WBIC
Beverly Lake,Sawyer,17.43,28,T38N R8W S16 NW SE,2387200
Big Arbor Vitae Lake,Vilas,1070.33,41,T40N R7E S30 SE NE,1545600
Big Bass Lake,Washburn,201.23,27,T42N R12W S32 SW NW,2453300
Big Bass Lake,Marathon,176.93,13,T26N R9E S20 NE SE,1405200
Big Bear Lake,Burnett,179.32,17,T41N R14W S20 NW SW,2705700
Big Blake Lake,Polk,208.1,14,T35N R16W S22 SW NE,2627000
Big Brook Lake,Bayfield,31.54,24,T44N R8W S33 NW NE,2730400
Big Buck Lake,Chippewa,17.47,47,T31N R8W S15 SE NW,2170300
Big Butternut Lake,Polk,384.48,19,T36N R17W S33 NE NE,2641000
Big Carr Lake,Oneida,208.87,75,T38N R7E S9 SW SW,971600
Big Crooked Lake,Vilas,394.25,87,T41N R5E S22 NE NE,2321400
Big Cub Lake,Forest,4.38,15,T35N R16E S17 SW NE,498700
Big Dardis Lake,Price,139.6,23,T38N R1E S35 NW NW,2244200
Big Devil Lake,Washburn,166.04,74.5,T38N R11W S33 SW SE,2107500
Big Doctor Lake,Burnett,213.2,9,T38N R16W S7 NW SE,2453400
Big Dummy Lake,Barron,113.72,54,T36N R13W S28 SW NE,1835100
Big Eau Pleine Reservoir,Marathon,6347.69,46,T26N R6E S14 SW SE,1427400
Big Falls Flowage,Rusk,281.42,45,T36N R5W S35 SW SE,2230100
Big Falls Pond,Waupaca,23,13,T25N R12E S23 SW SE,285300
Big Fork Lake,Oneida,662.74,37,T39N R11E S28 SE SE,1610700
Big Island Lake,Oconto,38.09,25,T32N R15E S24 NE SW,489900
Big Kitten Lake,Vilas,50.05,22,T43N R7E S33 NE SW,2336700
Big Lake,Vilas,780.36,30,T44N R41W S16 SE NW,2963800
Big Lake,Vilas,827.08,61,T42N R6E S4 SE NW,2334700
Big Lake,Polk,244.71,24,T33N R18W S36 SW SW,2615900
Big Lake,Shawano,62.9,38,T28N R14E S2 SE SW,345100
Big Lake,Oneida,844.77,27,T38N R11E S15 SW SW,1613000
Big Moon Lake,Barron,186.99,48,T33N R14W S16 SW NW,2079000
Big Muskego Lake,Waukesha,2194.29,23,T5N R20E S33 NE SE,762400
Big Muskellunge Lake,Vilas,897.37,70,T41N R7E S21 NE SW,1835300
Big Portage Lake,Vilas,586.31,40,T42N R10E S8 NW SW,1629500
Big Quinnesec Falls Flowage,Marinette,101.21,73,T38N R20E S6 SE SE,647500
Big Roche a Cri,Adams,216.51,20,T18N R6E S6 SW SW,1374800
